amount,contributor_name,date,honoree_name,state,country
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-17,Rep. Gregory P. Walden,AR,US
2500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-31,Rep. Xavier Becerra,AR,US
2500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-02-05,Sen. Mitch McConnell,AR,US
5000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-19,Rep. John A. Boehner,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-17,Rep. Lloyd Poe,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-19,"Rep. Spencer Thomas Bachus, III",AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-06-19,Rep. Adrian M. Smith,AR,US
2000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-06-27,Rep. John Jenkins Barrow,AR,US
1500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-31,Sen. Richard M. Burr,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-27,Rep. Adrian M. Smith,AR,US
90000.00,WAL-MART STORES INC,2013-05-28,Members of the Congressional Black Caucus,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-31,Rep. H. Morgan Griffith,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-31,Rep. Collin C. Peterson,AR,US
